,Unnamed: 0,DR_NO,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,LOCATION,Cross Street,LAT,LON,year,month,hour,crime_type,theft,vehicular
427348,427348,221114689,1350,10,Northeast,601,1,60,BATTERY - SIMPLE ASSAULT,0416 0356 0444 0319 1312 1306,36,0,7,0,STREET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,61,4900    FOUNTAIN                     AV,BROADWAY,3017,3611,2,9,13,1,0,0
674567,674567,241405437,935,13,Pacific,733,0,6,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0447 2004 1266 1822 0416,29,2,17,50,TRANSIENT ENCAMPMENT,54,ROCK/THROWN OBJECT,0,Adult Arrest,6,100    MARKET                       ST,BROADWAY,1914,1846,4,1,9,0,0,0
679688,679688,240605227,2107,5,Hollywood,289,0,17,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,31,2,17,159,GARAGE/CARPORT,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,17,1700    ARGYLE                       AV,BROADWAY,3047,3321,4,0,21,0,0,0
366596,366596,220910345,1200,8,Van Nuys,457,0,38,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394,44,0,5,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,39,6900    HAZELTINE                    AV,BROADWAY,4007,2130,2,3,12,0,1,0
5483,5483,200509340,1225,4,Harbor,234,0,28,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0326 0344 0385 1300 1309,43,2,7,0,STREET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,28,24600 S  WESTERN                      AV,BROADWAY,747,3498,0,4,12,0,0,1
321791,321791,221916938,1200,18,Mission,1050,0,28,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0385,50,2,7,0,STREET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,28,14500    DUCAT                        ST,BROADWAY,4711,2086,2,10,12,0,0,1
563121,563121,232104498,1030,20,Topanga,1171,1,60,BATTERY - SIMPLE ASSAULT,1202 0416 0360,81,0,17,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",0,Adult Arrest,61,20600    SHERMAN                      WY,BROADWAY,4041,758,3,0,10,1,0,0
245583,245583,210405075,1720,3,Hollenbeck,194,0,6,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0342 1309 0400 0416 0417 1822 0429 0906 0850,16,2,7,7,PARKING LOT,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,6,2700    LANCASTER                    AV,BROADWAY,2607,4611,1,0,17,0,0,0
213501,213501,210808343,1446,7,West LA,417,0,38,THEFT PLAIN - PETTY ($950 & UNDER),0394,31,0,17,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,39,1300 S  BUNDY                        DR,BROADWAY,2456,1917,1,3,14,0,1,0
551769,551769,230204306,1500,1,Rampart,58,0,15,BURGLARY FROM VEHICLE,1822 1300 0344 1302 1307,31,0,7,7,PARKING LOT,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,15,500 N  KENMORE                      AV,BROADWAY,2821,3607,3,0,15,0,0,1
195889,195889,211114967,2045,10,Northeast,595,0,15,BURGLARY FROM VEHICLE,1302 1307 0344,31,2,7,0,STREET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,15,1900    HYPERION                     AV,BROADWAY,3039,3905,1,10,20,0,0,1
14494,14494,200119519,2000,0,Central,39,0,15,BURGLARY FROM VEHICLE,1609 0344 1307 1822 0329,20,2,17,0,STREET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,15,800 S  GRAND                        AV,BROADWAY,2478,3983,0,9,20,0,0,1
140948,140948,201809810,1530,17,Southeast,1011,1,62,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 1813 1243 0400,47,2,7,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1,Adult Other,63,800 W  IMPERIAL                     HY,BROADWAY,1402,3702,0,3,15,1,0,0
97954,97954,201610491,1400,15,Foothill,880,0,40,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 0325,31,0,7,113,CLOTHING STORE,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,41,9700    LAUREL CANYON                BL,BROADWAY,4489,2387,0,5,14,0,1,0
372112,372112,220307348,1035,2,Southwest,141,0,38,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 1266,55,0,2,174,COLLEGE/JUNIOR COLLEGE/UNIVERSITY,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,39,600    EXPOSITION                   BL,BROADWAY,2214,3741,2,2,10,0,1,0
376311,376311,220810931,440,7,West LA,406,0,13,BURGLARY,1822 1501,19,0,17,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,13,900    HILGARD                      AV,BROADWAY,2669,2161,2,5,4,0,1,0
685400,685400,241405494,1315,13,Pacific,757,0,84,BRANDISH WEAPON,0334 2038 0913 0330,48,2,1,7,PARKING LOT,32,OTHER KNIFE,3,Invest Cont,85,13100    FOUNTAIN PARK                DR,BROADWAY,1780,2290,4,1,13,1,0,0
108605,108605,200906654,1215,8,Van Nuys,450,0,38,THEFT PLAIN - PETTY ($950 & UNDER),0344,54,2,2,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,39,NOBLE                        AV,HARTLAND                     ST,4114,1875,0,1,12,0,1,0
473419,473419,220126682,2200,0,Central,45,0,15,BURGLARY FROM VEHICLE,1609 1822 1307 0344 0329,30,0,2,0,STREET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,15,8TH,MAIN,2462,4036,2,11,22,0,0,1
526488,526488,230717720,1507,6,Wilshire,360,0,40,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,20,3,18,53,OTHER BUSINESS,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,41,1300 S  LA BREA                      AV,BROADWAY,2532,3131,3,10,15,0,1,0
603020,603020,232014736,1600,19,Olympic,1133,0,15,BURGLARY FROM VEHICLE,1822 0344 0321,30,2,7,0,STREET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,15,1600 S  ST ANDREWS                   PL,BROADWAY,2467,3457,3,7,16,0,0,1
178644,178644,211112397,140,10,Northeast,601,0,6,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 1822,43,2,7,0,STREET,32,OTHER KNIFE,3,Invest Cont,6,4800    HOLLYWOOD                    BL,BROADWAY,3049,3620,1,7,1,0,0,0
21270,21270,202113720,2030,20,Topanga,1160,0,6,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1817 0913 0431,29,0,18,0,STREET,74,MACE/PEPPER SPRAY,3,Invest Cont,6,21900    SHERMAN                      WY,BROADWAY,4076,586,0,8,20,0,0,0
675203,675203,240705400,700,6,Wilshire,342,1,78,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,43,2,17,53,OTHER BUSINESS,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,79,300 S  LA BREA                      AV,BROADWAY,2700,3117,4,0,7,0,0,0
647686,647686,240805147,5,7,West LA,439,1,73,"BUNCO, GRAND THEFT",0701,17,2,17,203,MUSEUM,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,74,9700 W  PICO                         BL,BROADWAY,2506,2541,3,8,0,0,1,0
291495,291495,211415630,1430,13,Pacific,777,1,32,FALSE IMPRISONMENT,0500 1822,18,0,12,128,HOTEL,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,33,9600    AIRPORT                      BL,BROADWAY,1522,2714,1,6,14,0,0,0
311686,311686,220914926,1215,8,Van Nuys,494,1,110,VIOLATION OF RESTRAINING ORDER,2038,64,0,17,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,111,4600    ETHEL                        AV,BROADWAY,3571,2392,2,9,12,0,0,0
478568,478568,221313787,2340,12,Newton,691,0,6,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0416 1817 0371 0906,54,2,2,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",62,UNKNOWN WEAPON/OTHER WEAPON,3,Invest Cont,6,4300 S  MAIN                         ST,BROADWAY,2106,3798,2,6,23,0,0,0
1438,1438,221807326,1605,17,Southeast,1015,1,26,THEFT OF IDENTITY,0100 1822 0922 0930,39,2,7,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,26,2300 E  112TH                        ST,BROADWAY,1372,4258,0,3,16,0,1,0
225604,225604,210807939,1025,7,West LA,385,1,26,THEFT OF IDENTITY,1501,49,2,17,126,SINGLE FAMILY DWELLING,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,26,400 N  CASCADA                      WY,BROADWAY,2816,1970,1,3,10,0,1,0
360551,360551,221316649,1715,12,Newton,671,0,4,ROBBERY,0916 1822 0344 0416 0429 1310 1311,69,2,7,7,PARKING LOT,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,4,1700 E  7TH                          ST,BROADWAY,2379,4211,2,7,17,1,0,0
296481,296481,210510608,2130,4,Harbor,256,0,28,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 0358 1300 1606,27,0,18,3,DRIVEWAY,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,28,1700 W  OFARRELL                     ST,BROADWAY,304,3451,1,5,21,0,0,1
492963,492963,231916899,1318,18,Mission,1055,0,18,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325,45,2,18,112,DEPARTMENT STORE,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,18,10300 N  SEPULVEDA                    BL,BROADWAY,4602,1900,3,7,13,0,1,0
404240,404240,221509859,1,14,N Hollywood,846,1,78,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329,24,2,17,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,79,3700    BARHAM                       BL,BROADWAY,3420,3157,2,4,0,0,0,0
604890,604890,230114918,30,0,Central,52,0,15,BURGLARY FROM VEHICLE,1609 0344 1300,30,3,12,0,STREET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,15,16TH                         ST,SANTEE,2355,3968,3,5,0,0,0,1
127543,127543,201114283,2115,10,Northeast,577,1,60,BATTERY - SIMPLE ASSAULT,0400 0444 1822,28,2,17,1,SIDEWALK,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,61,3900    LEGION                       LN,BROADWAY,3241,3888,0,9,21,1,0,0
484436,484436,220313754,2200,2,Southwest,155,0,56,VEHICLE - ATTEMPT STOLEN,1822 1238 0329 1300,49,0,2,0,STREET,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,57,4300    10TH                         AV,BROADWAY,2088,3297,2,6,22,0,0,1
424742,424742,221315597,726,12,Newton,689,1,26,THEFT OF IDENTITY,0100,36,0,2,199,CYBERSPACE,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,26,1100 E  VERNON                       AV,BROADWAY,2091,4060,2,7,7,0,1,0
207678,207678,211708688,15,16,Devonshire,954,1,60,BATTERY - SIMPLE ASSAULT,1814 2000 0342 0913 1206,23,0,7,60,RESTAURANT/FAST FOOD,61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1,Adult Other,61,10100    BALBOA                       BL,BROADWAY,4568,1608,1,4,0,1,0,0
317751,317751,220306268,2100,2,Southwest,124,0,38,THEFT PLAIN - PETTY ($950 & UNDER),0344 1240 1822,17,2,17,21,"VEHICLE, PASSENGER/TRUCK",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,39,500 W  27TH                         ST,BROADWAY,2298,3821,2,1,21,0,1,0
608262,608262,230717984,2000,6,Wilshire,364,0,9,INTIMATE PARTNER - AGGRAVATED ASSAULT,1814 2000 0416,32,0,2,127,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",61,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",3,Invest Cont,9,1500    ARLINGTON                    AV,BROADWAY,2485,3366,3,11,20,1,0,0
